Subject ID,Condition 1,Condition 2,Condition 3
YIPB23IV,1,0,2
O5L75XOE,1,0,2
1W8H0XTX,1,2,0
X44J2OLR,1,2,0
PXI7V192,1,0,2
G1IDQS0X,0,2,1
Y9VJUA9F,1,0,2
YIOYSRPX,1,2,0
KDX5AQXP,0,2,1
7XVWEVOK,1,2,0
KEQB5AWM,0,1,2
9O8JSQIV,2,1,0
5LNKD1MG,1,2,0
EQDORXF6,2,0,1
D1A0IL6X,0,1,2
IYPJJ2KE,0,1,2
NW2JV7YA,0,1,2
6QJ3ITMT,0,2,1
CWESJCNJ,0,2,1
FUOPOVNF,2,0,1
W6AX3IMN,1,2,0
RVQL2MRD,1,2,0
A4VCLD2I,2,0,1
WJH6RNH9,1,2,0
D1BOI2AY,2,1,0
UDLD86TO,2,0,1
IBYYXKMB,1,0,2
886MCPKG,2,1,0
R14IYO0T,0,2,1
6QF3HOJC,1,0,2
